iso,id_1,name_1,id_2,name_2,year,month,nlsum,area,date,nl_density,nl_density_clipped
AFG,1,Badakhshan,1,Baharak,2016,11,2531.83,3003.881,2016-11-01,0.8428529625507801,0.8428529625507801
AFG,1,Badakhshan,1,Baharak,2016,12,4969.43,3003.881,2016-12-01,1.6543365066725348,1.6543365066725348
AFG,1,Badakhshan,1,Baharak,2017,1,5998.48,3003.881,2017-01-01,1.9969099974333204,1.9969099974333204
AFG,1,Badakhshan,1,Baharak,2017,2,7362.68,3003.881,2017-02-01,2.451055817457483,2.451055817457483
AFG,1,Badakhshan,1,Baharak,2017,3,6360.17,3003.881,2017-03-01,2.1173175635120036,2.1173175635120036
AFG,1,Badakhshan,1,Baharak,2017,4,4982.8,3003.881,2017-04-01,1.6587874153470128,1.6587874153470128
AFG,1,Badakhshan,1,Baharak,2017,5,4785.11,3003.881,2017-05-01,1.5929758868610306,1.5929758868610306
AFG,1,Badakhshan,1,Baharak,2017,6,0.0,3003.881,2017-06-01,0.0,0.0
AFG,1,Badakhshan,1,Baharak,2017,7,5000.37,3003.881,2017-07-01,1.6646365152281333,1.6646365152281333
AFG,1,Badakhshan,1,Baharak,2017,8,5495.83,3003.881,2017-08-01,1.8295764712383746,1.8295764712383746
AFG,1,Badakhshan,1,Baharak,2017,9,4836.07,3003.881,2017-09-01,1.6099406068349578,1.6099406068349578
AFG,1,Badakhshan,1,Baharak,2017,10,8036.47,3003.881,2017-10-01,2.6753623062964214,2.6753623062964214
AFG,1,Badakhshan,1,Baharak,2017,11,7034.5,3003.881,2017-11-01,2.3418038197917963,2.3418038197917963
AFG,1,Badakhshan,1,Baharak,2017,12,7611.56,3003.881,2017-12-01,2.5339086335310887,2.5339086335310887
AFG,1,Badakhshan,1,Baharak,2018,1,5067.07,3003.881,2018-01-01,1.6868411232002865,1.6868411232002865
AFG,1,Badakhshan,1,Baharak,2018,2,5167.45,3003.881,2018-02-01,1.7202578930390384,1.7202578930390384
AFG,1,Badakhshan,1,Baharak,2018,3,5741.84,3003.881,2018-03-01,1.9114738566541085,1.9114738566541085
AFG,1,Badakhshan,1,Baharak,2018,4,4771.44,3003.881,2018-04-01,1.5884251073860782,1.5884251073860782
