ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2013-01-01,0.8606168896770545,0.5423478214836116,1.1780976748989949,0.8606168896770545,0.8606168896770545,0.0,0.0,0.0,0.0,0.0,0.0,0.8606168896770545
2014-01-01,1.0046569334382198,0.7061658401091393,1.327274198511912,1.0046569334382198,1.0046569334382198,0.0,0.0,0.0,0.0,0.0,0.0,1.0046569334382198
2015-01-01,1.1486969774066795,0.8226129355400117,1.4765801842206894,1.1486969774066795,1.1486969774066795,0.0,0.0,0.0,0.0,0.0,0.0,1.1486969774066795
2016-01-01,1.2927370213965936,0.9580943902283483,1.6197845274266611,1.2927370213965936,1.2927370213965936,0.0,0.0,0.0,0.0,0.0,0.0,1.2927370213965936
2017-01-01,1.4371716956915122,1.1014571691969712,1.7635273404605125,1.4371716956915122,1.4371716956915122,0.0,0.0,0.0,0.0,0.0,0.0,1.4371716956915122
2018-01-01,1.5812117397712597,1.2508615465969621,1.9017476169660037,1.5812117397712597,1.5812117397712597,0.0,0.0,0.0,0.0,0.0,0.0,1.5812117397712597
2019-01-01,1.7252517840013373,1.4149311141669598,2.0320308737993598,1.7252517840013373,1.7252517840013373,0.0,0.0,0.0,0.0,0.0,0.0,1.7252517840013373
2020-01-01,1.8692918282690212,1.5562932878047482,2.1906475072536367,1.8692918282690212,1.8692918282690212,0.0,0.0,0.0,0.0,0.0,0.0,1.8692918282690212
2021-01-01,2.0137265028067572,1.6952488251158593,2.3493536096777725,2.0137265028067572,2.0137265028067572,0.0,0.0,0.0,0.0,0.0,0.0,2.0137265028067572
2022-01-01,2.157766547058286,1.833146220259899,2.45971783076811,2.157766547058286,2.157766547058286,0.0,0.0,0.0,0.0,0.0,0.0,2.157766547058286
2023-01-01,2.3018065913098145,1.988453973897907,2.633818893703336,2.3018065913098145,2.3018065913098145,0.0,0.0,0.0,0.0,0.0,0.0,2.3018065913098145
2024-01-01,2.4458466355613435,2.1054113100288503,2.7662329137737967,2.4458466355613435,2.4458466355613435,0.0,0.0,0.0,0.0,0.0,0.0,2.4458466355613435
2024-12-31,2.589886679812872,2.2806550829271,2.924515968083117,2.589886678297136,2.5898866813960453,0.0,0.0,0.0,0.0,0.0,0.0,2.589886679812872
2025-12-31,2.7339267240644007,2.401994789134502,3.049900213770934,2.7339267190491294,2.733926729458255,0.0,0.0,0.0,0.0,0.0,0.0,2.7339267240644007
2026-12-31,2.877966768315929,2.5698343955336074,3.17903740952217,2.8779667579495487,2.877966778723986,0.0,0.0,0.0,0.0,0.0,0.0,2.877966768315929
2027-12-31,3.0220068125674575,2.693918998422592,3.34261295261093,3.0220067959039354,3.022006829213582,0.0,0.0,0.0,0.0,0.0,0.0,3.0220068125674575
2028-12-31,3.16644148707721,2.845903800487735,3.4846789505228757,3.166441462881706,3.1664415116287983,0.0,0.0,0.0,0.0,0.0,0.0,3.16644148707721
2029-12-31,3.310481531328739,2.9756142581736755,3.627392711180141,3.310481500142532,3.3104815627582016,0.0,0.0,0.0,0.0,0.0,0.0,3.310481531328739
2030-12-31,3.4545215755802676,3.132896239462923,3.7837130465670756,3.4545215349819127,3.454521615511668,0.0,0.0,0.0,0.0,0.0,0.0,3.4545215755802676
2031-12-31,3.598561619831796,3.2835441455410854,3.9260575506520103,3.598561571337147,3.598561669407634,0.0,0.0,0.0,0.0,0.0,0.0,3.598561619831796
2032-12-31,3.742996294341548,3.428105278035022,4.071238893524907,3.7429962378408286,3.7429963540228646,0.0,0.0,0.0,0.0,0.0,0.0,3.742996294341548
2033-12-31,3.8870363385930764,3.55349329249873,4.206396977059206,3.887036272126666,3.887036408780659,0.0,0.0,0.0,0.0,0.0,0.0,3.8870363385930764
