iso,date,avg_density
AFG,2013-01-01,1.5116404464518425
AFG,2013-02-01,0.9842592611641544
AFG,2013-03-01,1.992395126091107
AFG,2013-04-01,1.0014270652397788
AFG,2013-05-01,0.8689991181540881
AFG,2013-06-01,0.0
AFG,2013-07-01,0.00047438630225365123
AFG,2013-08-01,0.6676417851923628
AFG,2013-09-01,0.4640018913766355
AFG,2013-10-01,1.6596508954515334
AFG,2013-11-01,1.8494841568054419
AFG,2013-12-01,1.7879771437641034
AFG,2014-01-01,1.5772028616326965
AFG,2014-02-01,1.7857142347999693
AFG,2014-03-01,1.1498409209922607
AFG,2014-04-01,0.6208340523810707
AFG,2014-05-01,1.0894117771053622
AFG,2014-06-01,0.0
AFG,2014-07-01,0.5277172685182677
AFG,2014-08-01,1.1211692081058375
AFG,2014-09-01,0.812963929050247
AFG,2014-10-01,1.42493967426351
AFG,2014-11-01,0.543740768800951
AFG,2014-12-01,3.200705544216288
AFG,2015-01-01,2.116228495092023
AFG,2015-02-01,1.8714042262597812
AFG,2015-03-01,1.6193301109713705
AFG,2015-04-01,0.6598574999644244
AFG,2015-05-01,0.556559996884031
AFG,2015-06-01,0.0
AFG,2015-07-01,0.09073761577106416
AFG,2015-08-01,0.2998520182664114
AFG,2015-09-01,0.4322742663368393
AFG,2015-10-01,0.5398744757243101
AFG,2015-11-01,1.8963528417562783
AFG,2015-12-01,1.392263258813173
AFG,2016-01-01,0.9787339785200289
AFG,2016-02-01,0.960073653256803
AFG,2016-03-01,0.8168264788510411
AFG,2016-04-01,0.536980497394179
AFG,2016-05-01,0.7445863377454705
AFG,2016-06-01,0.0
AFG,2016-07-01,0.518259709724294
AFG,2016-08-01,0.18574698246983617
AFG,2016-09-01,0.6006162908862094
AFG,2016-10-01,1.3492604482991437
AFG,2016-11-01,0.9976666780839281
AFG,2016-12-01,1.8140665158537939
AFG,2017-01-01,2.303414073976752
AFG,2017-02-01,2.4877561114470135
AFG,2017-03-01,2.2390580483463145
AFG,2017-04-01,1.632730687511588
AFG,2017-05-01,1.453372390317376
AFG,2017-06-01,0.0
AFG,2017-07-01,1.7385911017679319
AFG,2017-08-01,1.8344675486382365
AFG,2017-09-01,1.5768429120037135
AFG,2017-10-01,2.6490840987707784
AFG,2017-11-01,2.3877200006681867
AFG,2017-12-01,2.436285671056864
AFG,2018-01-01,1.7587069491807985
AFG,2018-02-01,1.7718955154324671
AFG,2018-03-01,1.9569746855725565
AFG,2018-04-01,1.5884251073860782
AFG,2018-05-01,1.9082580168788312
AFG,2018-06-01,0.0
AFG,2018-07-01,0.23855139401327818
AFG,2018-08-01,1.5976065629763632
AFG,2018-09-01,1.485614776350994
AFG,2018-10-01,2.240035474108329
AFG,2018-11-01,2.932043579622495
AFG,2018-12-01,1.5913513218399795
AFG,2019-01-01,2.5384028195524393
AFG,2019-02-01,1.6174209297904945
AFG,2019-03-01,2.0098166338813024
AFG,2019-04-01,1.5535735270471767
AFG,2019-05-01,1.6708651241510566
AFG,2019-06-01,0.0
AFG,2019-07-01,1.068064946647354
AFG,2019-08-01,1.2137464832994382
AFG,2019-09-01,1.3956578173369718
AFG,2019-10-01,2.263365293099161
AFG,2019-11-01,2.428095520428406
AFG,2019-12-01,2.1886652633709525
AFG,2020-01-01,1.5755717353650163
AFG,2020-02-01,2.195642903297434
AFG,2020-03-01,1.702820451276199
AFG,2020-04-01,1.6793275099779252
AFG,2020-05-01,1.1913121724861937
AFG,2020-06-01,0.0
AFG,2020-07-01,1.547148505549987
AFG,2020-08-01,1.5764838886760162
AFG,2020-09-01,1.7708091632125242
AFG,2020-10-01,2.0809978824061273
AFG,2020-11-01,3.1502479625524447
AFG,2020-12-01,2.4006643405647563
AFG,2021-01-01,2.2464738117122485
AFG,2021-02-01,2.334639754371095
AFG,2021-03-01,1.9221134259313204
AFG,2021-04-01,1.9646250966666123
AFG,2021-05-01,2.1123306815416454
AFG,2021-06-01,0.0
AFG,2021-07-01,0.2099284225973
AFG,2021-08-01,2.4430262050993368
AFG,2021-09-01,1.6743872343811224
AFG,2021-10-01,2.623922185998713
AFG,2021-11-01,2.6878095370622206
AFG,2021-12-01,2.677149993624914
AFG,2022-01-01,2.441375007864826
AFG,2022-02-01,2.62861278459433
AFG,2022-03-01,2.3211605253337266
AFG,2022-04-01,2.28539013363046
AFG,2022-05-01,2.1827162926893577
AFG,2022-06-01,0.0
AFG,2022-07-01,0.0
AFG,2022-08-01,1.354537679754957
AFG,2022-09-01,2.2002169859591643
AFG,2022-10-01,2.3885133931736977
AFG,2022-11-01,2.5007115794533807
AFG,2022-12-01,3.0383560467275506
AFG,2023-01-01,3.4172349509624165
AFG,2023-02-01,2.7969716510074805
AFG,2023-03-01,2.2490271751777122
AFG,2023-04-01,2.120969505782686
AFG,2023-05-01,2.20455803675312
AFG,2023-06-01,0.0
AFG,2023-07-01,1.7685554121484839
AFG,2023-08-01,2.3903709900625225
AFG,2023-09-01,2.411973044205147
AFG,2023-10-01,2.547191449994191
AFG,2023-11-01,3.141499280430883
AFG,2023-12-01,2.815391155641652
AFG,2024-01-01,3.1504543622067587
AFG,2024-02-01,2.797537585543502
AFG,2024-03-01,3.4168297612322194
AFG,2024-04-01,2.5317980306143952
AFG,2024-05-01,1.9125790935126925
