year,forecast
2025,2.6760910915484564
2026,2.67466279246065
2027,2.6746390015591293
2028,2.674638605278686
2029,2.6746385986779195
2030,2.674638598567972
2031,2.6746385985661405
2032,2.67463859856611
2033,2.6746385985661094
2034,2.6746385985661094
