year,asia_avg_density
2013,1.065662606332775
2014,1.1545200199888719
2015,0.9562279004866422
2016,0.7919014642570606
2017,1.8949435537087298
2018,1.637136035569866
2019,1.6623061965503962
2020,1.7392522096137186
2021,1.908033862415544
2022,1.945132535765121
2023,2.3219785543471914
2024,2.7618397666219137
