,nlsum,area,nl_density,nl_density_clipped
nlsum,1.0,0.2130292934217886,0.9997455393843864,0.9997384901823465
area,0.2130292934217886,1.0,0.19452995891233735,0.19486915620145476
nl_density,0.9997455393843864,0.19452995891233735,1.0,0.9999813585197755
nl_density_clipped,0.9997384901823465,0.19486915620145476,0.9999813585197755,1.0
